2022-05-25 20:15:39,663 DEBUG     server.py Сообщение отправлено клиенту <socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52534)>
2022-05-25 20:15:43,720 DEBUG     decors.py Вызвана функция "get_message" с параметрами args = (<socket.socket fd=376, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52527)>,), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:15:43,721 DEBUG     server.py Получено сообщение от клиента <socket.socket fd=376, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52527)>: {'action': 'presence', 'time': 1653498943.218191, 'user': {'account_name': 'Guest'}, 'message': 'sd'}
2022-05-25 20:15:43,725 INFO      server.py проверка сообщения от клента
2022-05-25 20:15:43,727 DEBUG     server.py сообщение от клента правильное
2022-05-25 20:15:43,730 DEBUG     decors.py Вызвана функция "process_client_message" с параметрами args = ({'action': 'presence', 'time': 1653498943.218191, 'user': {'account_name': 'Guest'}, 'message': 'sd'},), kwargs = {}, из модуля "__main__", из функции "main"
2022-05-25 20:15:43,734 DEBUG     decors.py Вызвана функция "send_message" с параметрами args = (<socket.socket fd=376, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52527)>, {'response': 200, 'message': 'SD'}), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:15:43,735 DEBUG     server.py Сообщение отправлено клиенту <socket.socket fd=376, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52527)>
2022-05-25 20:15:43,737 DEBUG     decors.py Вызвана функция "send_message" с параметрами args = (<socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52534)>, {'response': 200, 'message': 'SD'}), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:15:43,737 DEBUG     server.py Сообщение отправлено клиенту <socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52534)>
2022-05-25 20:15:48,794 DEBUG     decors.py Вызвана функция "get_message" с параметрами args = (<socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52534)>,), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:15:48,795 DEBUG     server.py Получено сообщение от клиента <socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52534)>: {'action': 'presence', 'time': 1653498948.3051674, 'user': {'account_name': 'Guest'}, 'message': 'd'}
2022-05-25 20:15:48,800 INFO      server.py проверка сообщения от клента
2022-05-25 20:15:48,802 DEBUG     server.py сообщение от клента правильное
2022-05-25 20:15:48,805 DEBUG     decors.py Вызвана функция "process_client_message" с параметрами args = ({'action': 'presence', 'time': 1653498948.3051674, 'user': {'account_name': 'Guest'}, 'message': 'd'},), kwargs = {}, из модуля "__main__", из функции "main"
2022-05-25 20:15:48,807 DEBUG     decors.py Вызвана функция "send_message" с параметрами args = (<socket.socket fd=376, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52527)>, {'response': 200, 'message': 'D'}), kwargs = {}, из модуля "common.utils", из функции "main"
